Kabupaten/Kota;AHH;RLS;HLS;Pengeluaran Per Kapita;Persentase Penduduk Miskin;Gini Rasio;TPT
Banggai Kepulauan;67.08;8.7;13.11;8375;12.32;0.276;1.55
Banggai;71.09;8.81;13.35;10772;6.56;0.316;3.11
Morowali;69.41;9.38;13.39;12281;11.55;0.275;2.84
Poso;71.34;9.54;13.75;9948;14.23;0.247;1.77
Donggala;68.01;8;12.62;9117;15.3;0.251;2.79
Tolitoli;67.03;8.91;13.17;8918;12.45;0.277;3.11
Buol;69.99;9.2;13.18;9051;13.08;0.266;3.13
Parigi Moutong;64.66;8.05;12.52;10846;14.2;0.25;2.1
Tojo Una-una;66.6;8.56;12.43;8863;16.36;0.244;2.47
Sigi;70.48;9.04;13.13;9254;12.06;0.246;2.47
Banggai Laut;66.31;8.65;13.04;8776;13.78;0.221;2.47
Morowali Utara;70.06;9.13;12.44;10032;11.95;0.245;2.47
Kota Palu;71.56;11.75;16.52;15941;5.94;0.337;2.47